Victim_ID,Split
V0522,train
V0738,train
V0741,train
V0661,train
V0412,train
V0679,train
V0627,train
V0514,train
V0860,train
V0137,train
V0812,train
V0077,train
V0637,train
V0974,train
V0939,train
V0900,train
V0281,train
V0884,train
V0762,train
V0320,train
V0550,train
V0175,train
V0372,train
V0528,train
V0211,train
V0236,train
V0102,train
V0987,train
V0903,train
V0948,train
V0347,train
V0140,train
V0622,train
V0500,train
V0371,train
V0199,train
V0688,train
V0585,train
V0902,train
V0060,train
V0329,train
V0097,train
V0313,train
V0975,train
V0300,train
V0278,train
V0925,train
V0602,train
V0440,train
V0838,train
V0571,train
V0880,train
V0262,train
V0579,train
V0024,train
V0031,train
V0618,train
V0011,train
V0222,train
V0821,train
V0297,train
V0055,train
V0543,train
V0210,train
V0605,train
V0693,train
V0663,train
V0867,train
V0071,train
V0544,train
V0108,train
V0494,train
V0591,train
V0742,train
V0293,train
V0290,train
V0653,train
V0040,train
V0590,train
V0308,train
V0680,train
V0067,train
V0276,train
V0068,train
V0319,train
V0549,train
V0999,train
V0715,train
V0754,train
V0328,train
V0383,train
V0452,train
V0523,train
V0219,train
V0788,train
V0437,train
V0765,train
V0089,train
V0064,train
V0827,train
V0717,train
V0352,train
V0937,train
V0257,train
V0636,train
V0645,train
V0555,train
V0960,train
V0169,train
V0918,train
V0529,train
V0824,train
V0986,train
V0817,train
V0087,train
V0433,train
V0185,train
V0979,train
V0535,train
V0295,train
V0893,train
V0426,train
V0714,train
V0261,train
V0238,train
V0560,train
V0584,train
V0446,train
V0868,train
V0801,train
V0600,train
V0850,train
V0266,train
V0996,train
V0530,train
V0056,train
V0121,train
V0216,train
V0026,train
V0073,train
V0045,train
V0248,train
V0722,train
V0282,train
V0894,train
V0915,train
V0811,train
V0245,train
V0823,train
V0322,train
V0644,train
V0159,train
V0978,train
V0430,train
V0942,train
V0463,train
V0310,train
V0698,train
V0061,train
V0885,train
V0596,train
V0768,train
V0650,train
V0651,train
V0866,train
V0669,train
V0299,train
V0690,train
V0315,train
V0311,train
V0362,train
V0480,train
V0111,train
V0990,train
V0487,train
V0364,train
V0255,train
V0260,train
V0803,train
V0678,train
V0495,train
V0671,train
V0378,train
V0527,train
V0846,train
V0138,train
V0356,train
V0366,train
V0943,train
V0750,train
V0949,train
V0830,train
V0657,train
V0200,train
V0214,train
V0409,train
V0333,train
V0209,train
V0614,train
V0079,train
V0030,train
V0536,train
V0696,train
V0558,train
V0837,train
V0597,train
V0166,train
V0919,train
V0496,train
V0825,train
V0066,train
V0142,train
V0926,train
V0828,train
V0656,train
V0332,train
V0665,train
V0250,train
V0908,train
V0709,train
V0306,train
V0735,train
V0976,train
V0050,train
V0897,train
V0003,train
V0545,train
V0351,train
V0905,train
V0537,train
V0345,train
V0995,train
V0482,train
V0576,train
V0034,train
V0032,train
V0232,train
V0964,train
V0193,train
V0334,train
V0004,train
V0205,train
V0515,train
V0800,train
V0307,train
V0110,train
V0431,train
V0078,train
V0085,train
V0287,train
V0083,train
V0992,train
V0790,train
V0895,train
V0399,train
V0324,train
V0520,train
V0917,train
V0923,train
V0006,train
V0732,train
V0466,train
V0098,train
V0267,train
V0358,train
V0869,train
V0799,train
V0381,train
V0632,train
V0382,train
V0491,train
V0119,train
V0901,train
V0251,train
V0524,train
V0010,train
V0197,train
V0604,train
V0082,train
V0784,train
V0588,train
V0798,train
V0240,train
V0291,train
V0212,train
V0718,train
V0360,train
V0450,train
V0228,train
V0951,train
V0947,train
V0797,train
V0502,train
V0465,train
V0363,train
V0469,train
V0936,train
V0429,train
V0008,train
V0156,train
V0542,train
V0441,train
V0483,train
V0423,train
V0779,train
V0950,train
V0335,train
V0577,train
V0935,train
V0568,train
V0595,train
V0531,train
V0582,train
V0708,train
V0449,train
V0454,train
V0229,train
V0353,train
V0729,train
V0213,train
V0080,train
V0149,train
V0303,train
V0629,train
V0778,train
V0507,train
V0343,train
V0486,train
V0712,train
V0134,train
V0704,train
V0312,train
V0723,train
V0630,train
V0001,train
V0317,train
V0707,train
V0548,train
V0873,train
V0533,train
V0478,train
V0405,train
V0173,train
V0126,train
V0395,train
V0421,train
V0553,train
V0904,train
V0091,train
V0940,train
V0182,train
V0275,train
V0896,train
V0070,train
V0292,train
V0132,train
V0301,train
V0425,train
V0327,train
V0145,train
V0424,train
V0581,train
V0136,train
V0451,train
V0165,train
V0029,train
V0774,train
V0194,train
V0389,train
V0853,train
V0170,train
V0706,train
V0141,train
V0174,train
V0007,train
V0746,train
V0479,train
V0074,train
V0911,train
V0814,train
V0239,train
V0146,train
V0793,train
V0235,train
V0221,train
V0924,train
V0501,train
V0133,train
V0991,train
V0775,train
V0186,train
V0042,train
V0697,train
V0109,train
V0589,train
V0057,train
V0406,train
V0443,train
V0758,train
V0998,train
V0025,train
V0468,train
V0540,train
V0532,train
V0619,train
V0695,train
V0927,train
V0339,train
V0052,train
V0508,train
V0517,train
V0921,train
V0782,train
V0265,train
V0818,train
V0711,train
V0683,train
V0833,train
V0519,train
V0448,train
V0019,train
V0716,train
V0484,train
V0569,train
V0434,train
V0368,train
V0084,train
V0062,train
V0639,train
V0273,train
V0286,train
V0361,train
V0355,train
V0457,train
V0279,train
V0013,train
V0183,train
V0369,train
V0882,train
V0616,train
V0224,train
V0573,train
V0971,train
V0654,train
V0546,train
V0583,train
V0634,train
V0177,train
V0666,train
V0674,train
V0586,train
V0874,train
V0394,train
V0164,train
V0249,train
V0635,train
V0886,train
V0670,train
V0376,train
V0413,train
V0075,train
V0114,train
V0599,train
V0962,train
V0391,train
V0105,train
V0115,train
V0418,train
V0526,train
V0458,train
V0410,train
V0093,train
V0931,train
V0090,train
V0337,train
V0989,train
V0922,train
V0934,train
V0606,train
V0594,train
