Victim_ID,Event_Timepoint,T_minus,behaviour_risk,Engagement_Deviation,Missed_Checkin
V0001,18,7,0.2441,0.147,0
V0001,18,6,0.5162,0.054,1
V0001,18,5,0.533,0.11,1
V0001,18,4,0.16160000000000002,-0.128,0
V0001,18,3,0.17600000000000002,-0.08,0
V0001,18,2,0.1988,-0.004,0
V0001,18,1,0.07370000000000002,-0.421,0
V0001,18,0,0.1973,-0.009,0
V0001,22,7,0.17600000000000002,-0.08,0
V0001,22,6,0.1988,-0.004,0
V0001,22,5,0.07370000000000002,-0.421,0
V0001,22,4,0.1973,-0.009,0
V0001,22,3,0.2156,0.052,0
V0001,22,2,0.2039,0.013,0
V0001,22,1,0.10370000000000001,-0.321,0
V0001,22,0,0.11420000000000002,-0.286,0
V0002,1,0,0.45289999999999997,-0.157,1
V0002,20,7,0.1295,-0.235,0
V0002,20,6,0.11180000000000002,-0.294,0
V0002,20,5,0.13430000000000003,-0.219,0
V0002,20,4,0.1265,-0.245,0
V0002,20,3,0.1163,-0.279,0
V0002,20,2,0.14600000000000002,-0.18,0
V0002,20,1,0.07760000000000003,-0.408,0
V0002,20,0,0.07580000000000002,-0.414,0
V0003,1,0,0.1559,-0.147,0
V0003,9,7,0.1451,-0.183,0
V0003,9,6,0.16040000000000001,-0.132,0
V0003,9,5,0.1673,-0.109,0
V0003,9,4,0.191,-0.03,0
V0003,9,3,0.1403,-0.199,0
V0003,9,2,0.10010000000000001,-0.333,0
V0003,9,1,0.2018,0.006,0
V0003,9,0,0.13670000000000002,-0.211,0
V0004,10,7,0.22640000000000002,0.088,0
V0004,10,6,0.5231,0.077,1
V0004,10,5,0.2213,0.071,0
V0004,10,4,0.2633,0.211,0
V0004,10,3,0.1958,-0.014,0
V0004,10,2,0.4994,-0.002,1
V0004,10,1,0.2984,0.328,0
V0004,10,0,0.1652,-0.116,0
V0004,12,7,0.2213,0.071,0
V0004,12,6,0.2633,0.211,0
V0004,12,5,0.1958,-0.014,0
V0004,12,4,0.4994,-0.002,1
V0004,12,3,0.2984,0.328,0
V0004,12,2,0.1652,-0.116,0
V0004,12,1,0.18530000000000002,-0.049,0
V0004,12,0,0.1316,-0.228,0
V0004,13,7,0.2633,0.211,0
V0004,13,6,0.1958,-0.014,0
V0004,13,5,0.4994,-0.002,1
V0004,13,4,0.2984,0.328,0
V0004,13,3,0.1652,-0.116,0
V0004,13,2,0.18530000000000002,-0.049,0
V0004,13,1,0.1316,-0.228,0
V0004,13,0,0.203,0.01,0
V0004,15,7,0.4994,-0.002,1
V0004,15,6,0.2984,0.328,0
V0004,15,5,0.1652,-0.116,0
V0004,15,4,0.18530000000000002,-0.049,0
V0004,15,3,0.1316,-0.228,0
V0004,15,2,0.203,0.01,0
V0004,15,1,0.20090000000000002,0.003,0
V0004,15,0,0.09530000000000002,-0.349,0
V0004,17,7,0.1652,-0.116,0
V0004,17,6,0.18530000000000002,-0.049,0
V0004,17,5,0.1316,-0.228,0
V0004,17,4,0.203,0.01,0
