threshold,precision,recall,f1,false_positives,false_negatives,true_positives,true_negatives
0.05,0.08002319512902291,1.0,0.14818791946308724,3173,0,276,1
0.1,0.08864900228982663,0.9818840579710145,0.1626162616261626,2786,5,271,388
0.15000000000000002,0.10401246591351772,0.967391304347826,0.18782975729862822,2300,9,267,874
0.2,0.12104470115519839,0.8731884057971014,0.21261579179532422,1750,35,241,1424
0.25,0.15324305060584462,0.7789855072463768,0.25610482430017867,1188,61,215,1986
0.3,0.1876267748478702,0.6702898550724637,0.2931854199683043,801,91,185,2373
0.35000000000000003,0.23112480739599384,0.5434782608695652,0.32432432432432434,499,126,150,2675
0.4,0.2841225626740947,0.3695652173913043,0.32125984251968503,257,174,102,2917
0.45,0.367816091954023,0.2318840579710145,0.28444444444444444,110,212,64,3064
0.5,0.4857142857142857,0.12318840579710146,0.19653179190751446,36,242,34,3138
0.55,0.875,0.025362318840579712,0.04929577464788732,1,269,7,3173
0.6000000000000001,1.0,0.007246376811594203,0.014388489208633094,0,274,2,3174
0.6500000000000001,0.0,0.0,0.0,0,276,0,3174
0.7000000000000001,0.0,0.0,0.0,0,276,0,3174
0.7500000000000001,0.0,0.0,0.0,0,276,0,3174
0.8,0.0,0.0,0.0,0,276,0,3174
0.8500000000000001,0.0,0.0,0.0,0,276,0,3174
0.9000000000000001,0.0,0.0,0.0,0,276,0,3174
0.9500000000000001,0.0,0.0,0.0,0,276,0,3174
