config,precision,recall,f1,roc_auc,pr_auc,brier
Structured_only,0.30492424242424243,0.5833333333333334,0.40049751243781095,0.8545450809566862,0.40773967791524984,0.06003748345427584
Text_only,0.0779580530273051,0.7137681159420289,0.14056368176953266,0.6490615553911764,0.20238894525071538,0.23343713528172164
Voice_only,0.08094435075885328,0.34782608695652173,0.13132694938440492,0.5314865802763393,0.13157168688102583,0.16776769141275732
Behaviour_only,0.08,1.0,0.14814814814814814,0.7101163895053104,0.16663206336266145,0.11546175440869565
Temporal_only,0.2611036339165545,0.7028985507246377,0.380765456329735,0.8268146763102381,0.28554861817968297,0.0633839539734595
Struct+Text,0.09841269841269841,0.7862318840579711,0.17492946392583636,0.7134850186752875,0.2910538286250651,0.10368110837981585
Struct+Voice,0.12049252418645559,0.4963768115942029,0.19391365888181175,0.70937097613764,0.21933818541386516,0.08761554098129078
Struct+Behaviour,0.1478787878787879,0.8840579710144928,0.2533748701973001,0.8152915901847437,0.36096514255910345,0.0739000401759383
Struct+Temporal,0.3001605136436597,0.677536231884058,0.41601779755283647,0.8569297188204891,0.3946370614972648,0.06074760803780365
Text+Voice+Struct,0.10563052582596556,0.822463768115942,0.18721649484536082,0.7041816205948697,0.20783522895627515,0.10076207086329765
Text+Behav+Struct,0.09491006505931879,0.8985507246376812,0.17168570439598477,0.7284092673260093,0.29278737151227335,0.09950817845003604
Struct+Temp+Behav,0.19674935842600513,0.8333333333333334,0.31833910034602075,0.8364348465338849,0.3875039114602504,0.06689228346791468
All_5_Manual,0.11363636363636363,0.8695652173913043,0.20100502512562815,0.75590965544323,0.25165898495525385,0.08523900569463486
