threshold,f1,recall,precision,tp,tn,fp,fn
0.01,0.14814814814814814,1.0,0.08,276,0,3174,0
0.02,0.14814814814814814,1.0,0.08,276,0,3174,0
0.03,0.14814814814814814,1.0,0.08,276,0,3174,0
0.04,0.1516822945394374,0.9963768115942029,0.08208955223880597,275,99,3075,1
0.05,0.1563573883161512,0.9891304347826086,0.08488805970149253,273,231,2943,3
0.060000000000000005,0.15988286969253293,0.9891304347826086,0.08697037273016885,273,308,2866,3
0.06999999999999999,0.1619047619047619,0.9855072463768116,0.08819714656290532,272,362,2812,4
0.08,0.1649923896499239,0.9818840579710145,0.09006314390162845,271,436,2738,5
0.09,0.16775802931088243,0.9746376811594203,0.09177755032412147,269,512,2662,7
0.09999999999999999,0.17315175097276264,0.967391304347826,0.09508547008547008,267,633,2541,9
0.11,0.1800271739130435,0.9601449275362319,0.09932533733133433,265,771,2403,11
0.12,0.18521177315147164,0.9347826086956522,0.10278884462151394,258,922,2252,18
0.13,0.18846588767433095,0.9057971014492754,0.1051745898190997,250,1047,2127,26
0.14,0.19198730662435542,0.8768115942028986,0.10779510022271716,242,1171,2003,34
0.15000000000000002,0.20100502512562815,0.8695652173913043,0.11363636363636363,240,1302,1872,36
0.16,0.20954907161803712,0.8586956521739131,0.11933534743202417,237,1425,1749,39
0.17,0.21664342166434217,0.8442028985507246,0.12426666666666666,233,1532,1642,43
0.18000000000000002,0.22442899702085403,0.8188405797101449,0.13003452243958574,226,1662,1512,50
0.19,0.23275408109531331,0.8007246376811594,0.1361675908810844,221,1772,1402,55
0.2,0.2373259052924791,0.7717391304347826,0.1402238314680711,213,1868,1306,63
0.21000000000000002,0.24509220701963116,0.7463768115942029,0.14661921708185052,206,1975,1199,70
0.22,0.2484237074401009,0.7137681159420289,0.150381679389313,197,2061,1113,79
0.23,0.26174496644295303,0.7065217391304348,0.16062602965403625,195,2155,1019,81
0.24000000000000002,0.27188612099644127,0.6920289855072463,0.1691762621789194,191,2236,938,85
0.25,0.2789992418498863,0.6666666666666666,0.17641418983700863,184,2315,859,92
0.26,0.28364222401289285,0.6376811594202898,0.18238341968911917,176,2385,789,100
0.27,0.29314830875975717,0.6123188405797102,0.19270239452679588,169,2466,708,107
0.28,0.3029197080291971,0.6014492753623188,0.20243902439024392,166,2520,654,110
0.29000000000000004,0.3029721955896453,0.572463768115942,0.20599739243807041,158,2565,609,118
0.3,0.30959752321981426,0.5434782608695652,0.21645021645021645,150,2631,543,126
0.31,0.30903155603917304,0.5144927536231884,0.2208398133748056,142,2673,501,134
0.32,0.30609896432681244,0.48188405797101447,0.224283305227656,133,2714,460,143
0.33,0.2976629766297663,0.4384057971014493,0.22532588454376165,121,2758,416,155
0.34,0.30429128738621586,0.42391304347826086,0.23732251521298176,117,2798,376,159
0.35000000000000003,0.2916666666666667,0.3804347826086957,0.23648648648648649,105,2835,339,171
0.36000000000000004,0.2835820895522388,0.3442028985507246,0.24111675126903553,95,2875,299,181
0.37,0.288,0.32608695652173914,0.25787965616045844,90,2915,259,186
0.38,0.28330522765598654,0.30434782608695654,0.26498422712933756,84,2941,233,192
0.39,0.26595744680851063,0.2717391304347826,0.2604166666666667,75,2961,213,201
0.4,0.26492537313432835,0.2572463768115942,0.27307692307692305,71,2985,189,205
0.41000000000000003,0.2700587084148728,0.25,0.2936170212765957,69,3008,166,207
0.42000000000000004,0.2572614107883817,0.2246376811594203,0.30097087378640774,62,3030,144,214
0.43,0.25272331154684097,0.21014492753623187,0.31693989071038253,58,3049,125,218
0.44,0.25339366515837103,0.2028985507246377,0.3373493975903614,56,3064,110,220
0.45,0.2446043165467626,0.18478260869565216,0.3617021276595745,51,3084,90,225
0.46,0.22443890274314215,0.16304347826086957,0.36,45,3094,80,231
0.47000000000000003,0.21483375959079284,0.15217391304347827,0.3652173913043478,42,3101,73,234
0.48000000000000004,0.1935483870967742,0.13043478260869565,0.375,36,3114,60,240
0.49,0.1894150417827298,0.12318840579710146,0.40963855421686746,34,3125,49,242
0.5,0.17765042979942694,0.11231884057971014,0.4246575342465753,31,3132,42,245
0.51,0.15522388059701492,0.09420289855072464,0.4406779661016949,26,3141,33,250
0.52,0.1510574018126888,0.09057971014492754,0.45454545454545453,25,3144,30,251
0.53,0.14241486068111456,0.08333333333333333,0.48936170212765956,23,3150,24,253
0.54,0.1032258064516129,0.057971014492753624,0.47058823529411764,16,3156,18,260
0.55,0.08666666666666667,0.04710144927536232,0.5416666666666666,13,3163,11,263
0.56,0.06143344709897611,0.03260869565217391,0.5294117647058824,9,3166,8,267
0.5700000000000001,0.05574912891986063,0.028985507246376812,0.7272727272727273,8,3171,3,268
0.5800000000000001,0.028469750889679714,0.014492753623188406,0.8,4,3173,1,272
0.59,0.021505376344086023,0.010869565217391304,1.0,3,3174,0,273
0.6,0.021505376344086023,0.010869565217391304,1.0,3,3174,0,273
0.61,0.014388489208633094,0.007246376811594203,1.0,2,3174,0,274
0.62,0.014388489208633094,0.007246376811594203,1.0,2,3174,0,274
0.63,0.014388489208633094,0.007246376811594203,1.0,2,3174,0,274
0.64,0.014388489208633094,0.007246376811594203,1.0,2,3174,0,274
0.65,0.007220216606498195,0.0036231884057971015,1.0,1,3174,0,275
0.66,0.0,0.0,0.0,0,3174,0,276
0.67,0.0,0.0,0.0,0,3174,0,276
0.68,0.0,0.0,0.0,0,3174,0,276
0.6900000000000001,0.0,0.0,0.0,0,3174,0,276
0.7000000000000001,0.0,0.0,0.0,0,3174,0,276
0.7100000000000001,0.0,0.0,0.0,0,3174,0,276
0.72,0.0,0.0,0.0,0,3174,0,276
0.73,0.0,0.0,0.0,0,3174,0,276
0.74,0.0,0.0,0.0,0,3174,0,276
0.75,0.0,0.0,0.0,0,3174,0,276
0.76,0.0,0.0,0.0,0,3174,0,276
0.77,0.0,0.0,0.0,0,3174,0,276
0.78,0.0,0.0,0.0,0,3174,0,276
0.79,0.0,0.0,0.0,0,3174,0,276
0.8,0.0,0.0,0.0,0,3174,0,276
0.81,0.0,0.0,0.0,0,3174,0,276
0.8200000000000001,0.0,0.0,0.0,0,3174,0,276
0.8300000000000001,0.0,0.0,0.0,0,3174,0,276
0.8400000000000001,0.0,0.0,0.0,0,3174,0,276
0.85,0.0,0.0,0.0,0,3174,0,276
0.86,0.0,0.0,0.0,0,3174,0,276
0.87,0.0,0.0,0.0,0,3174,0,276
0.88,0.0,0.0,0.0,0,3174,0,276
0.89,0.0,0.0,0.0,0,3174,0,276
0.9,0.0,0.0,0.0,0,3174,0,276
0.91,0.0,0.0,0.0,0,3174,0,276
0.92,0.0,0.0,0.0,0,3174,0,276
0.93,0.0,0.0,0.0,0,3174,0,276
0.9400000000000001,0.0,0.0,0.0,0,3174,0,276
0.9500000000000001,0.0,0.0,0.0,0,3174,0,276
0.9600000000000001,0.0,0.0,0.0,0,3174,0,276
0.97,0.0,0.0,0.0,0,3174,0,276
0.98,0.0,0.0,0.0,0,3174,0,276
0.99,0.0,0.0,0.0,0,3174,0,276
