feature,importance
Engagement_Score,0.23750539
Engagement_Deviation,0.066372745
Mood,0.06625211
Text_Distress,0.06438666
Stress,0.05400913
Fear,0.051227897
Safety,0.047000397
Urgency,0.045113273
Negative_Affect,0.035084937
Functioning,0.031199666
Sleep,0.028760832
Baseline_Text_Distress,0.01990821
Voice_Distress,0.01910291
Compensation_Delay,0.012719356
Relocation_Stress,0.010456706
Investigation_Delay,0.009584482
Other_Protective_Factors,0.008337652
Response_Delay_Deviation,0.00782523
Baseline_Voice_Distress,0.007667899
Upcoming_Hearing,0.0074148555
Threat_Event,0.007211851
Checkin_Available,0.006953654
Voice_Distress_Deviation,0.0064753965
Rehabilitation_Issue,0.0060613113
Acoustic_Indicator,0.0058559068
Text_Available,0.0057719755
Therapist_Engagement,0.005526306
Speech_Rate_Deviation,0.004993116
Self_Reported_Wellbeing,0.0049669915
Text_Distress_Deviation,0.0047967643
Family_Support,0.004770749
Access_To_Services,0.00470533
Social_Support,0.004679167
Stable_Housing,0.004518402
Response_Delay_Hours,0.0045050727
Threat_Context,0.0044653183
Engagement_Trend,0.0044652503
Hearing_Completed,0.004244427
Pause_Ratio,0.0042372392
Recent_Episode,0.0040606945
Missed_Checkin,0.0040412466
Energy_Deviation,0.0040196185
Baseline_Checkin_Distress,0.003984468
Voice_Available,0.003775212
Baseline_Response_Delay,0.003700588
Voice_Distress_Trend,0.0035927647
Baseline_Engagement,0.0035168598
Episode_Severity,0.0035007377
Therapist_Observation_Score,0.0034868664
Behaviour_Trend,0.0034486642
Case_Stage,0.0034406437
Text_Distress_Trend,0.0034370644
Diary_Available,0.0033185508
Family_Reported_Episode,0.0032574295
Session_Duration_Minutes,0.0031415944
Interaction_Frequency_7d,0.003016253
Therapist_Observation_Available,0.0026126676
Protection_Event,0.0025630891
Case_Type,0.0025413276
Social_Support_Checkin,0.0024090915
