feature,importance
Engagement_Score,0.3157182
Stress,0.10874182
Mood,0.079554275
Safety,0.06547942
Sleep,0.0502689
Functioning,0.043018706
Engagement_Deviation,0.035113756
Baseline_Checkin_Distress,0.03255568
Self_Reported_Wellbeing,0.028274175
Compensation_Delay,0.018934103
Baseline_Engagement,0.015041691
Relocation_Stress,0.014353728
Investigation_Delay,0.014062773
Threat_Event,0.012725765
Upcoming_Hearing,0.010743424
Other_Protective_Factors,0.009549157
Response_Delay_Deviation,0.009291698
Rehabilitation_Issue,0.009248126
Engagement_Trend,0.007838791
Checkin_Available,0.007809997
Response_Delay_Hours,0.0074674343
Therapist_Engagement,0.0071194195
Hearing_Completed,0.0070064534
Missed_Checkin,0.0066375565
Access_To_Services,0.006372067
Social_Support,0.0059467484
Stable_Housing,0.005811511
Family_Support,0.005625417
Therapist_Observation_Score,0.005521405
Behaviour_Trend,0.0053941677
Baseline_Response_Delay,0.0052717323
Family_Reported_Episode,0.0052459235
Case_Stage,0.004670775
Diary_Available,0.0045825792
Case_Type,0.0044598933
Session_Duration_Minutes,0.0043024216
Episode_Severity,0.00412127
Social_Support_Checkin,0.0038964795
Interaction_Frequency_7d,0.003781213
Therapist_Observation_Available,0.0033455316
Protection_Event,0.0032328104
Recent_Episode,0.0018630781
