configuration,mae,rmse,r2,pearson,spearman
Mean baseline,16.6835987654321,20.216530944663656,0.0,,
Structured only,43.76132741111111,48.17337852291003,-4.678072603007319,0.7159123661485919,0.8166350540673081
Text only,43.371145470254106,47.86667794517286,-4.478021964068843,0.9103033222781861,0.9204960386380676
Voice only,43.598021569286146,48.015623482966475,-4.5734575361438035,0.8616999397164167,0.8715973030543052
Behaviour only,43.63056228888888,48.08228070135661,-4.656617974717112,-0.03893262671875019,-0.3308488708820861
Structured + Text,43.59024198177778,47.9987462200508,-4.636980296171053,0.6988810440825042,0.6839880302317161
Structured + Voice,43.66998277244445,48.078730690919315,-4.655782726835975,0.5823574492275748,0.6044945728562461
Structured + Behaviour,43.69589596955556,48.127754963016024,-4.667322631867735,0.5634080153407177,0.7113747939232807
Text + Voice,43.322677108701406,47.76570248602286,-4.524720008042293,0.9016000786999873,0.9123891924167218
Text + Behaviour,43.50822925288889,47.94111803476917,-4.623452695528612,0.5562668028486986,0.5159877137039072
Voice + Behaviour,43.56340942888888,48.00419556004373,-4.638260311517171,0.2897971161849827,0.11053179302380263
Structured + Text + Voice,43.54253477377778,47.94932010771881,-4.6253770526033025,0.7323124486468435,0.7309493721608725
Structured + Text + Behaviour,43.59827711644445,48.022649991081636,-4.642596219460742,0.6908577465000034,0.6743741207468731
Structured + Voice + Behaviour,43.64320222222222,48.070274398863404,-4.653793375459526,0.5438509915923778,0.5801796321485934
Text + Voice + Behaviour,43.47283426688888,47.900162957480674,-4.613848807459391,0.6477358920228439,0.6375558026190996
Structured + Text + Voice + Behaviour,43.56399938022222,47.98536437520622,-4.633837602395526,0.721040843223491,0.715775316575456
