condition,mae,rmse,r2,pearson,spearman
all modalities,43.56399938022222,47.98536437520622,-4.633837602395526,0.721040843223491,0.715775316575456
no Text,43.64306346533333,48.07015684981958,-4.653765724392375,0.5434215604460306,0.5798839358748115
no Voice,43.59810567111111,48.022493213943385,-4.642559377318805,0.6906336712924191,0.6741695605588034
no Behaviour,43.54224961088889,47.94902891393063,-4.625308727551926,0.7321993676308503,0.7308637283320804
no Structured,43.472628977999996,47.89992659531284,-4.613793404800263,0.6479478315948409,0.6377603123985341
Text + Structured,43.59024198177778,47.9987462200508,-4.636980296171053,0.6988810440825042,0.6839880302317161
Voice + Structured,43.66998277244445,48.078730690919315,-4.655782726835975,0.5823574492275748,0.6044945728562461
Behaviour + Structured,43.69589596955556,48.127754963016024,-4.667322631867735,0.5634080153407177,0.7113747939232807
Text + Voice,43.322677108701406,47.76570248602286,-4.524720008042293,0.9016000786999873,0.9123891924167218
Text + Behaviour,43.50822925288889,47.94111803476917,-4.623452695528612,0.5562668028486986,0.5159877137039072
Voice + Behaviour,43.56340942888888,48.00419556004373,-4.638260311517171,0.2897971161849827,0.11053179302380263
