Victim_ID,fold_id
V0001,2
V0003,5
V0004,1
V0006,3
V0007,5
V0008,3
V0009,1
V0010,2
V0011,4
V0012,2
V0013,1
V0016,2
V0017,3
V0018,5
V0019,5
V0020,2
V0023,3
V0024,3
V0025,2
V0026,3
V0027,5
V0029,5
V0030,2
V0031,2
V0032,1
V0034,3
V0037,3
V0038,5
V0039,2
V0040,2
V0042,1
V0043,1
V0044,5
V0045,2
V0046,5
V0047,5
V0049,4
V0050,3
V0051,4
V0052,1
V0054,5
V0055,1
V0056,2
V0057,2
V0058,1
V0060,3
V0061,3
V0062,5
V0064,3
V0066,1
V0067,3
V0068,2
V0069,5
V0070,4
V0071,1
V0073,1
V0074,1
V0075,3
V0076,5
V0077,4
V0078,1
V0079,2
V0080,5
V0082,1
V0083,5
V0084,1
V0085,2
V0087,3
V0089,2
V0090,1
V0091,1
V0093,5
V0094,1
V0095,2
V0097,4
V0098,2
V0101,1
V0102,1
V0104,1
V0105,2
V0108,5
V0109,1
V0110,2
V0111,2
V0112,2
V0114,5
V0115,1
V0116,5
V0117,2
V0118,2
V0119,1
V0120,5
V0121,2
V0125,2
V0126,3
V0127,5
V0128,4
V0132,4
V0133,5
V0134,5
V0136,3
V0137,1
V0138,5
V0140,4
V0141,2
V0142,5
V0143,5
V0145,3
V0146,1
V0149,1
V0150,1
V0151,4
V0152,4
V0153,3
V0154,2
V0155,4
V0156,3
V0158,2
V0159,1
V0163,4
V0164,1
V0165,5
V0166,4
V0168,4
V0169,3
V0170,2
V0172,3
V0173,4
V0174,5
V0175,4
V0176,5
V0177,1
V0178,1
V0179,1
V0180,5
V0181,1
V0182,1
V0183,2
V0185,5
V0186,4
V0189,2
V0191,3
V0193,3
V0194,4
V0195,3
V0196,1
V0197,4
V0199,4
V0200,1
V0204,3
V0205,4
V0208,4
V0209,4
V0210,2
V0211,3
V0212,1
V0213,5
V0214,3
V0216,1
V0219,5
V0221,5
V0222,5
V0223,4
V0224,2
V0226,1
V0227,1
V0228,5
V0229,2
V0230,3
V0232,3
V0235,5
V0236,3
V0237,3
V0238,3
V0239,1
V0240,3
V0245,1
V0246,2
V0248,2
V0249,3
V0250,3
V0251,1
V0254,2
V0255,4
V0256,2
V0257,3
V0258,4
V0260,5
V0261,2
V0262,5
V0263,3
V0264,5
V0265,1
V0266,4
V0267,3
V0269,3
V0272,2
V0273,4
V0275,4
V0276,1
V0278,5
V0279,5
V0281,4
V0282,2
V0284,1
V0285,5
V0286,5
V0287,4
V0288,1
V0290,1
V0291,2
V0292,1
V0293,1
V0295,2
V0297,5
V0298,2
V0299,5
V0300,5
V0301,1
V0302,4
V0303,2
V0304,2
V0305,3
V0306,1
V0307,4
V0308,3
V0310,4
V0311,1
V0312,3
V0313,3
V0315,5
V0317,2
V0319,4
V0320,4
V0321,1
V0322,2
V0323,2
V0324,3
V0325,2
V0327,4
V0328,5
V0329,5
V0330,5
V0332,5
V0333,1
V0334,3
V0335,4
V0336,2
V0337,1
V0339,1
V0341,2
V0342,5
V0343,5
V0345,4
V0347,1
V0350,3
V0351,1
V0352,2
V0353,4
V0354,1
V0355,2
V0356,3
V0357,4
V0358,3
V0360,2
V0361,2
V0362,4
V0363,4
V0364,3
V0365,5
V0366,5
V0368,1
V0369,3
V0370,5
V0371,3
V0372,2
V0375,5
V0376,2
V0378,3
V0381,4
V0382,3
V0383,1
V0384,4
V0389,3
V0391,1
V0394,3
V0395,2
V0396,3
V0397,5
V0399,1
V0400,1
V0404,2
V0405,2
V0406,4
V0408,2
V0409,5
V0410,2
V0412,4
V0413,3
V0415,1
V0417,1
V0418,3
V0420,2
V0421,4
V0422,3
V0423,3
V0424,2
V0425,4
V0426,5
V0427,4
V0429,1
V0430,1
V0431,3
V0432,5
V0433,2
V0434,5
V0435,3
V0437,4
V0438,1
V0440,3
V0441,3
V0443,1
V0444,3
V0445,1
V0446,4
V0447,4
V0448,2
V0449,2
V0450,1
V0451,2
V0452,5
V0453,1
V0454,2
V0457,3
V0458,2
V0463,2
V0465,2
V0466,5
V0468,1
V0469,5
V0470,1
V0471,3
V0474,2
V0478,5
V0479,3
V0480,5
V0481,1
V0482,4
V0483,4
V0484,3
V0486,3
V0487,4
V0488,1
V0491,1
V0494,2
V0495,3
V0496,1
V0498,2
V0500,4
V0501,4
V0502,1
V0504,1
V0507,2
V0508,2
V0512,3
V0513,4
V0514,5
V0515,3
V0516,4
V0517,1
V0518,3
V0519,4
V0520,5
V0522,4
V0523,3
V0524,2
V0526,4
V0527,2
V0528,5
V0529,5
V0530,2
V0531,2
V0532,3
V0533,4
V0534,4
V0535,5
V0536,4
V0537,5
V0538,2
V0539,5
V0540,1
V0542,5
V0543,5
V0544,3
V0545,4
V0546,1
V0548,1
V0549,5
V0550,3
V0552,2
V0553,4
V0555,5
V0558,4
V0559,4
V0560,2
V0568,3
V0569,5
V0570,4
V0571,2
V0572,1
V0573,4
V0576,3
V0577,3
V0579,5
V0580,4
V0581,4
V0582,4
V0583,3
V0584,5
V0585,4
V0586,2
V0587,4
V0588,1
V0589,4
V0590,1
V0591,3
V0592,3
V0594,5
V0595,3
V0596,3
V0597,2
V0598,1
V0599,1
V0600,4
V0602,3
V0603,5
V0604,2
V0605,2
V0606,4
V0607,3
V0611,4
V0612,4
V0614,4
V0616,3
V0617,2
V0618,3
V0619,1
V0621,3
V0622,3
V0623,3
V0624,4
V0626,3
V0627,4
V0629,2
V0630,5
V0631,5
V0632,2
V0634,4
V0635,5
V0636,5
V0637,5
V0639,5
V0644,3
V0645,4
V0650,2
V0651,3
V0652,5
V0653,2
V0654,4
V0656,4
V0657,1
V0658,5
V0659,4
V0661,1
V0663,5
V0665,5
V0666,5
V0667,2
V0668,1
V0669,4
V0670,3
V0671,3
V0673,1
V0674,1
V0676,5
V0678,1
V0679,2
V0680,1
V0681,4
V0683,5
V0685,4
V0686,5
V0688,5
V0689,3
V0690,4
V0693,4
V0694,4
V0695,4
V0696,5
V0697,1
V0698,1
V0704,3
V0705,5
V0706,3
V0707,5
V0708,4
V0709,3
V0711,1
V0712,5
V0713,4
V0714,5
V0715,1
V0716,3
V0717,2
V0718,3
V0719,1
V0722,1
V0723,1
V0724,2
V0729,3
